model,imgsz,epochs,optimizer,lr0,box,cls,dfl,precision,recall,mAP50,mAP50_95,train_min,infer_ms
hazard,416,30,AdamW,0.00088,8.14272,0.75027,1.05913,0.65841,0.49211,0.51148,0.38611,29.57,2.269
hazard,640,30,AdamW,0.00088,8.14272,0.75027,1.05913,0.71415,0.4594,0.52592,0.38645,45.67,3.904
hazard,832,30,AdamW,0.00088,8.14272,0.75027,1.05913,0.5771,0.47437,0.50032,0.35207,71.76,6.297
